NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
68,11/14/2019 21:30,15.019143,0,97.636,182.024,0,246.753,6939.130783,95.878,560.993783,560.993783
5855,11/14/2019 21:30,15.019143,0,97.636,182.024,0,222.753,6939.130783,95.878,560.993783,560.993783
6916,11/14/2019 21:30,15.019143,0,97.746,79.15,0,136.91,6939.130783,95.878,560.993783,560.993783
8333,11/14/2019 21:30,15.019143,0,97.636,182.024,0,30.753,6939.130783,95.878,560.993783,560.993783
8740,11/14/2019 21:30,15.019143,0,97.727,53.43,0,37.437,6939.130783,95.878,560.993783,560.993783
9140,11/14/2019 21:30,15.019143,0,97.744,104.871,0,92.387,6939.130783,95.878,560.993783,560.993783
9356,11/14/2019 21:30,15.019143,0,97.683,156.309,0,267.316,6939.130783,95.878,560.993783,560.993783
9594,11/14/2019 21:30,15.019143,0,97.589,207.737,0,202.169,6939.130783,95.878,560.993783,560.993783
10814,11/14/2019 21:30,15.081441,0.002763,97.722,130.591,83.859,180,6920.008293,95.482,560.993783,522.748804
10970,11/14/2019 21:30,15.019143,0,97.636,182.024,0,126.753,6939.130783,95.878,560.993783,560.993783
11349,11/14/2019 21:30,15.019143,0,97.636,182.024,0,270.753,6939.130783,95.878,560.993783,560.993783
12309,11/14/2019 21:30,15.019143,0,97.727,53.43,0,181.437,6939.130783,95.878,560.993783,560.993783
12605,11/14/2019 21:30,15.019143,0,97.746,79.15,0,304.91,6939.130783,95.878,560.993783,560.993783
15228,11/14/2019 21:30,15.019143,0,97.727,53.43,0,277.437,6939.130783,95.878,560.993783,560.993783
15632,11/14/2019 21:30,15.019143,0,97.636,182.024,0,78.753,6939.130783,95.878,560.993783,560.993783
15956,11/14/2019 21:30,15.019143,0,97.722,130.591,0,191.859,6939.130783,95.878,560.993783,560.993783
16204,11/14/2019 21:30,15.019143,0,97.746,79.15,0,256.91,6939.130783,95.878,560.993783,560.993783
