COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/11/2018 19:56,294304,15.24284132,0.0010712,97.4199,197.0357,19.7074,340.4576,0,999,10468,6.74E-05,1.58E-05,0,2283918,0 FLOCK 2P 5,1 41616U 16040T   18131.83058211  .00001576  00000-0  67370-4 0  9997,2 41616  97.4199 197.0357 0010712  19.7074 340.4576 15.24284132104680,2016-040T,41616,6871.072,94.47,500.298,485.577
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/11/2018 21:30,151904,15.24284348,0.0010702,97.4199,197.1007,19.4876,340.6768,0,999,10469,6.71E-05,1.57E-05,0,2283955,0 FLOCK 2P 5,1 41616U 16040T   18131.89622861 +.00001570 +00000-0 +67136-4 0  9995,2 41616 097.4199 197.1007 0010702 019.4876 340.6768 15.24284348104694,2016-040T,41616,6871.072,94.47,500.29,485.583
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/12/2018 14:50,469728,15.24287862,0.0010632,97.4199,197.8157,17.0701,343.0892,0,999,10480,7.13E-05,1.67E-05,0,2284257,0 FLOCK 2P 5,1 41616U 16040T   18132.61833877 +.00001672 +00000-0 +71289-4 0  9994,2 41616 097.4199 197.8157 0010632 017.0701 343.0892 15.24287862104802,2016-040T,41616,6871.061,94.47,500.231,485.621
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/12/2018 22:43,705888,15.24288695,0.0010594,97.4198,198.1406,15.9467,344.2102,0,999,10485,6.85E-05,1.60E-05,0,2284359,0 FLOCK 2P 5,1 41616U 16040T   18132.94657067 +.00001604 +00000-0 +68532-4 0  9997,2 41616 097.4198 198.1406 0010594 015.9467 344.2102 15.24288695104852,2016-040T,41616,6871.059,94.47,500.203,485.644
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/13/2018 3:26,226848,15.24289336,0.0010575,97.4198,198.3356,15.267,344.8884,0,999,10488,6.74E-05,1.58E-05,0,2284635,0 FLOCK 2P 5,1 41616U 16040T   18133.14350957 +.00001577 +00000-0 +67415-4 0  9996,2 41616 097.4198 198.3356 0010575 015.2670 344.8884 15.24289336104885,2016-040T,41616,6871.057,94.47,500.188,485.656
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/13/2018 16:02,915712,15.24291312,0.0010516,97.4198,198.8556,13.5253,346.6265,0,999,10496,6.75E-05,1.58E-05,0,2284756,0 FLOCK 2P 5,1 41616U 16040T   18133.66867958 +.00001580 +00000-0 +67535-4 0  9994,2 41616 097.4198 198.8556 0010516 013.5253 346.6265 15.24291312104964,2016-040T,41616,6871.051,94.47,500.141,485.69
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/14/2018 18:49,947136,15.24294973,0.0010387,97.4196,199.9605,9.6706,350.4729,0,999,10513,6.32E-05,1.48E-05,0,2285113,0 FLOCK 2P 5,1 41616U 16040T   18134.78466374  .00001475  00000-0  63247-4 0  9994,2 41616  97.4196 199.9605 0010387   9.6706 350.4729 15.24294973105138,2016-040T,41616,6871.04,94.469,500.042,485.768
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/14/2018 21:58,602720,15.24295146,0.0010369,97.4196,200.0905,9.2225,350.9201,0,999,10515,6.17E-05,1.44E-05,0,2285122,0 FLOCK 2P 5,1 41616U 16040T   18134.91595605 +.00001437 +00000-0 +61672-4 0  9997,2 41616 097.4196 200.0905 0010369 009.2225 350.9201 15.24295146105152,2016-040T,41616,6871.039,94.469,500.029,485.78
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/15/2018 4:17,867232,15.24295926,0.0010341,97.4196,200.3505,8.2952,351.8455,0,999,10519,6.03E-05,1.40E-05,0,2285396,0 FLOCK 2P 5,1 41616U 16040T   18135.17854013 +.00001403 +00000-0 +60301-4 0  9998,2 41616 097.4196 200.3505 0010341 008.2952 351.8455 15.24295926105198,2016-040T,41616,6871.037,94.469,500.007,485.797
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/15/2018 21:36,819584,15.24298004,0.0010263,97.4195,201.0654,5.8125,354.323,0,999,10530,5.76E-05,1.34E-05,0,2285469,0 FLOCK 2P 5,1 41616U 16040T   18135.90064606 +.00001337 +00000-0 +57603-4 0  9997,2 41616 097.4195 201.0654 0010263 005.8125 354.3230 15.24298004105300,2016-040T,41616,6871.031,94.469,499.947,485.844
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/16/2018 3:55,43488,15.24298717,0.0010233,97.4195,201.3254,4.8868,355.2467,0,999,10534,5.60E-05,1.30E-05,0,2285574,0 FLOCK 2P 5,1 41616U 16040T   18136.16322967  .00001297  00000-0  55954-4 0  9995,2 41616  97.4195 201.3254 0010233   4.8868 355.2467 15.24298717105346,2016-040T,41616,6871.029,94.469,499.925,485.862
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/16/2018 10:13,283808,15.24299537,0.0010204,97.4195,201.5854,3.9902,356.1414,0,999,10538,5.65E-05,1.31E-05,0,2285774,0 FLOCK 2P 5,1 41616U 16040T   18136.42581347 +.00001310 +00000-0 +56473-4 0  9996,2 41616 097.4195 201.5854 0010204 003.9902 356.1414 15.24299537105388,2016-040T,41616,6871.026,94.469,499.902,485.88
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41616,FLOCK 2P 5,PAYLOAD,U,16040T,5/16/2018 22:49,709152,15.24300798,0.0010158,97.4195,202.1054,2.1265,358.0014,0,999,10546,5.42E-05,1.26E-05,0,2285870,0 FLOCK 2P 5,1 41616U 16040T   18136.95098043 +.00001255 +00000-0 +54241-4 0  9999,2 41616 097.4195 202.1054 0010158 002.1265 358.0014 15.24300798105466,2016-040T,41616,6871.022,94.469,499.867,485.908
